otuname	Ev01	Ev02	Ev03	Ev04	Ev05	Ev06	Ev07	Ev08	Ev09	Ev10	Pd01	Pd02	Pd03	Pd04	Pd05	Pd06	Pd07	Pd08	Pd09	Pd10	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu111	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	34	1	18	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	oxalobacteraceae	massilia	massilia_agri
Zotu112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	bacteria	bacillota	bacilli	bacillales	bacillalesfamilyx.incertaesedis	thermicanus	thermicanus_aegyptius
Zotu113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	58	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_heleia
Zotu114	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	11	0	0	12	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_pickettii
Zotu115	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	neisseriales	neisseriaceae	snodgrassella	snodgrassella_alvi
Zotu116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	bacteria	actinomycetota	coriobacteriia	coriobacteriales	coriobacteriaceae	collinsella	collinsella_stercoris
Zotu117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_lundensis
Zotu118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiales	tepidimonas	tepidimonas_taiwanensis
Zotu119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	bacteria	pseudomonadota	alphaproteobacteria	caulobacterales	caulobacteraceae	brevundimonas	brevundimonas_bullata
Zotu120	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	9	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_graminis
Zotu121	0	23	4	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	weeksellaceae	spongiimonas	spongiimonas_flava
Zotu122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	parvicellaceae	parvicella	parvicella_tangerina
Zotu123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	bacteria	pseudomonadota	betaproteobacteria	rhodocyclales	zoogloeaceae	azoarcus	azoarcus_indigens
Zotu124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiales	tepidicella	tepidicella_xavieri
Zotu125	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	comamonadaceae	melaminivora	melaminivora_alkalimesophila
Zotu126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	bacteria	planctomycetota	planctomycetia	isosphaerales	isosphaeraceae	tundrisphaera	tundrisphaera_lichenicola
Zotu127	0	0	0	5	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	rhodobacterales	paracoccaceae	albirhodobacter	albirhodobacter_confluentis
Zotu128	0	0	0	0	0	0	0	0	4	0	0	36	0	1	0	0	1	0	0	10	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_fungorum
Zotu129	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	1	10	0	0	4	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_fungorum
Zotu130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	bacteria	pseudomonadota	alphaproteobacteria	hyphomicrobiales	brucellaceae	daeguia	daeguia_caeni
Zotu131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	chromatiales	thioalkalispiraceae	endothiovibrio	endothiovibrio_diazotrophicus
Zotu133	0	0	2	0	0	0	0	0	0	0	0	17	6	0	0	13	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	moraxella	moraxella_osloensis
Zotu135	0	0	0	0	0	7	0	0	0	0	0	23	0	0	0	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	corynebacteriaceae	corynebacterium	corynebacterium_appendicis
Zotu136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	bacteria	actinomycetota	thermoleophilia	solirubrobacterales	solirubrobacteraceae	solirubrobacter	solirubrobacter_phytolaccae
Zotu137	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	11	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	caulobacterales	caulobacteraceae	caulobacter	caulobacter_vibrioides
Zotu138	0	0	2	0	0	0	0	5	0	0	21	9	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_ferrariae
Zotu140	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	3	0	0	13	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_pickettii
Zotu141	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	bacteria	acidobacteriota	blastocatellia	blastocatellales	blastocatellaceae	stenotrophobacter	stenotrophobacter_terrae
Zotu142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	bacteria	bacillota	clostridia	peptostreptococcales	filifactoraceae	acetoanaerobium	acetoanaerobium_sticklandii
Zotu143	0	0	0	0	0	0	2	0	0	0	0	28	0	0	0	0	5	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	caulobacterales	caulobacteraceae	brevundimonas	brevundimonas_bullata
Zotu145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	nocardiaceae	rhodococcus	rhodococcus_corynebacterioides
Zotu146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	immundisolibacterales	immundisolibacteraceae	immundisolibacter	immundisolibacter_cernigliae
Zotu147	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	38	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	cupriavidus	cupriavidus_basilensis
Zotu148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	8	9	bacteria	bacillota	clostridia	lachnospirales	vallitaleaceae	petrocella	petrocella_atlantisensis
Zotu149	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_alcaliphila
Zotu150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	bacteria	bacillota	bacilli	bacillales	bacillalesfamilyx.incertaesedis	thermicanus	thermicanus_aegyptius
Zotu151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	bacteria	bacteroidota	flavobacteriia	flavobacteriales	weeksellaceae	chryseobacterium	chryseobacterium_moechotypicola
Zotu152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiales	aquabacterium	aquabacterium_parvum
Zotu153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	corynebacteriaceae	corynebacterium	corynebacterium_vitaeruminis
Zotu154	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	11	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas_dryadis
Zotu157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	bacteria	pseudomonadota	gammaproteobacteria	chromatiales	halothiobacillaceae	halothiobacillus	halothiobacillus_kellyi
Zotu158	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	3	0	22	3	8	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_syzygii
Zotu160	0	0	0	0	0	0	0	0	0	0	0	19	0	0	34	4	0	0	0	7	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	oxalobacteraceae	massilia	massilia_varians
Zotu161	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	alphaproteobacteria	caulobacterales	caulobacteraceae	phenylobacterium	phenylobacterium_lituiforme
Zotu162	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	1	9	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	oxalobacteraceae	massilia	massilia_agri
Zotu163	0	1	2	0	0	7	0	0	10	3	0	0	0	0	0	0	0	0	0	0	bacteria	campylobacterota	epsilonproteobacteria	campylobacterales	arcobacteraceae	malaciobacter	malaciobacter_halophilus
Zotu165	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	10	0	0	bacteria	bacillota	bacilli	bacillales	staphylococcaceae	staphylococcus	staphylococcus_lutrae
Zotu166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	bacteria	bacillota	bacilli	bacillales	bacillaceae	geobacillus	geobacillus_stearothermophilus
Zotu167	0	0	0	0	0	0	0	0	4	0	0	17	0	0	1	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	micrococcales	micrococcaceae	kocuria	kocuria_palustris
Zotu168	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	bacteria	bacillota	bacilli	lactobacillales	streptococcaceae	streptococcus	streptococcus_salivarius
Zotu169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	bacteria	bacillota	tissierellia	tissierellales	peptoniphilaceae	peptoniphilus	peptoniphilus_harei
Zotu170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	thiotrichales	piscirickettsiaceae	methylophaga	methylophaga_alcalica
Zotu171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_fungorum
Zotu172	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	18	0	0	0	bacteria	bacteroidota	flavobacteriia	flavobacteriales	vicingaceae	vicingus	vicingus_serpentipes
Zotu173	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	22	bacteria	pseudomonadota	gammaproteobacteria	thiotrichales	francisellaceae	francisella	francisella_philomiragia
Zotu174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	bacteria	bacillota	bacilli	bacillales	bacillaceae	geobacillus	geobacillus_stearothermophilus
Zotu175	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	pseudomonadales	pseudomonadaceae	stutzerimonas	stutzerimonas_xanthomarina
Zotu176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	bacteria	bacillota	clostridia	thermoanaerobacterales	thermoanaerobacteraceae	thermoanaerobacter	thermoanaerobacter_brockii
Zotu177	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	19	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	paraburkholderia	paraburkholderia_heleia
Zotu178	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	bacteria	planctomycetota	planctomycetia	pirellulales	lacipirellulaceae	pirellulimonas	pirellulimonas_nuda
Zotu179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	bacteria	bacteroidota	bacteroidia	bacteroidales	dysgonomonadaceae	seramator	seramator_thermalis
Zotu180	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	neisseriales	neisseriaceae	snodgrassella	snodgrassella_alvi
Zotu181	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2	2	0	1	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	burkholderiaceae	ralstonia	ralstonia_syzygii
Zotu182	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	gammaproteobacteria	moraxellales	moraxellaceae	acinetobacter	acinetobacter_johnsonii
Zotu183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	bacteria	pseudomonadota	betaproteobacteria	nitrosomonadales	sterolibacteriaceae	georgfuchsia	georgfuchsia_toluolica
Zotu184	0	0	0	0	0	0	0	2	0	0	0	19	0	0	0	0	0	0	0	0	bacteria	pseudomonadota	betaproteobacteria	neisseriales	neisseriaceae	snodgrassella	snodgrassella_alvi
Zotu185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	bacteria	pseudomonadota	gammaproteobacteria	alteromonadales	shewanellaceae	psychrobium	psychrobium_conchae
Zotu186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	bacteria	bacillota	bacilli	bacillales	bacillaceae	bacillus	bacillus_kwashiorkori
Zotu187	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	bacteria	pseudomonadota	betaproteobacteria	burkholderiales	oxalobacteraceae	massilia	massilia_agri
Zotu188	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	bacteria	actinomycetota	actinomycetes	mycobacteriales	corynebacteriaceae	corynebacterium	corynebacterium_macginleyi
